Região  "Bairro/loteamento"
Norte   "Alto da Ponte-Bairro, Jardim Maritéia, Vila Leonídia, Vila N.Sra.das Graças, Vila Veneziani, São Sebastião"
Norte   "Vila Santarém, Vila Sinhá, Jardim Guimarães, Vila Leila, Vila Monte Alegre, Vila Leila II(088)"
Norte   "Vila Unidos, Caete-Bairro (parte), Oliveiras-Ch.(045), Miranda-Ch.(049), Guimarães-Remanescente(059), Minas Gerais"
Norte   "Vila Dirce"
Norte   "Jardim Altos de Santana, Jardim Telespark"
Norte   "Jaguariuna-Bairro(parte)"
Norte   "Vila Machado"
Norte   "Vila Alexandrina (parte), Vila do Carmo, Vila Dona, Vila Esmeralda, Vila Simone, Vila do Pena(073)"
Norte   "Santana-Bairro, Jardim Anchieta, Jardim Nova Paulicéia"
Norte   "Vila Cristina, Conj.Res. Nova Cristina, Jardim Jaci, Vila Rangel, Vila Chiquinha, Jardim Ouro Preto"
Norte   "Vila Pasto Alto"
Norte   "Vila Alexandrina (parte), Vila César"
Norte   "Vila Rossi, Vila Zizinha"
Norte   "Fav.Vila Rhodia"
Norte   "Banhado(parte)"
Norte   "Vargem Grande-Bairro(parte), Águas do Canindu-Ch.(037), Hawai-Ch.(048), Espelho D'Água, Colinas do Parahyba"
Norte   "Vargem Grande-Bairro(parte), Fazenda Jataí, Rhodia-Vl.(063)"
SFX     "São Francisco Xavier, Bairro dos Ferreiras"
Centro  "Vila São Paulo; Vila Abel"
Centro  "Jardim Bela Vista; Vila Mascarenhas Ferraz; Vila Santa Helena; Vila Viaduto"
Centro  "Vila Santos; Vila Maria; Vila Nova São José; Vila Tupi; Vila Guarani; Vila Terezinha; Vila Nova Guarani; Vila. Guarani"
Centro  "Centro; Vila Paganini; Vila Santa Cruz II"
Centro  "Jardim Matarazzo; Vila Santa Luzia"
Centro  "Jardim Santos Dumont; Jardim Vale Paraíso (parte)"
Centro  "Vila Santa Cruz I"
Centro  "Favela Vila Nova Esperança"
Centro  "Conj. Res. Monte Castelo"
Centro  "Monte Castelo; Jardim Frei Leopoldo; Vila Progresso; Vila Santa Cruz III"
Centro  "Vila Guarani-Jd Paulista; Vila Kennedy; Jardim Jussara; Residencial Martins Pereira; Jardim Corinthians"
Centro  "Vila São Pedro"
Centro  "Jardim São José-centro"
Centro  "Jardim Augusta"
Centro  "Jardim Oswaldo Cruz"
Centro  "Jardim Vale Paraíso(parte); Vila Piratininga; Jardim Topázio; Jardim Bandeirantes; Vila Cardoso; Vila Ipiranga"
Centro  "Jardim Paulista"
Centro  "Vila Nove de Julho; Vila Igualdade; Vila Higienópolis; Vila Paulo Setubal"
Centro  "Vila Ady'Ana"
Centro  "Jardim São Dimas; Jardim Aparecida"
Centro  "Vila Sanches; Vila Rubi; Jardim Azevedo"
Centro  "Vila Betânia; Vila Zelfa"
Centro  "Jardim Maringá; Jardim N.Sra.Fátima; Jardim Margareth; Jardim Renata; Jardim Santa Madalena; Vila Luzia; Vila Guaianazes"
Centro  "Vila Icaraí; Vila Jaci"
Centro  "Chácara dos Eucaliptos; Serimbura-Bairro; Bairro dos Pinheiros; Residencial Esplanada do Sol"
Centro  "Jardim Esplanada; Jardim Esplanada II; Jardim Nova América; Jardim Nova Europa; Vila Santa Rita; Conj.Hab. Vale dos Pinheiros"
Centro  "Jardim Apolo I"
Centro  "Vila Ema"
Centro  "Jardim Apolo II"
